Comment,Designator,Footprint,LCSC
"CR2032-BS-6-1","BAT1","CR2032:CR2032BS61",""
"12p","C1,C2,C3,C4","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","C38523"
"2u2","C11,C12,C16,C18,C34,C35","Capacitor_SMD:C_0402_1005Metric","C12530"
"10uF","C14,C17","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C15850"
"1u","C20","Capacitor_SMD:C_0402_1005Metric","C52923"
"10n","C19,C21,C23,C25,C27,C29,C31","Capacitor_SMD:C_0402_1005Metric","C15195"
"4u7","C33","Capacitor_SMD:C_0402_1005Metric","C19666"
"10n","C5","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C15195"
"100n","C6,C7,C8,C9,C10,C13,C15,C22,C24,C26,C28,C30,C32","Capacitor_SMD:C_0402_1005Metric","C1525"
"0805 White","D1","LED_SMD:LED_0805_2012Metric_Castellated","C34499"
"0805 Green","D2","LED_SMD:LED_0805_2012Metric_Castellated","C2297"
"0805 Red","D3","LED_SMD:LED_0805_2012Metric_Castellated","C84256"
"0805 Blue","D4","LED_SMD:LED_0805_2012Metric_Castellated","C2293"
"M7","D5,D7","Diode_SMD:D_SMA","C95872"
"SS14 (Schottky)","D6","Diode_SMD:D_SMA-SMB_Universal_Handsoldering","C2480"
"0805 Yellow","D8,D9","LED_SMD:LED_0805_2012Metric_Castellated"," C2296"
"Polyfuse 500mA","F1","Fuse:Fuse_1206_3216Metric_Castellated","C69688"
"GZ2012D601TF","FB1","Inductor_SMD:L_0805_2012Metric","C1017"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_ISO7380_Pad",""
"Conn_01x03_Male","J1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x08","J9,J14,J15","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"Conn_01x06","J16","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x01","J18","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"Conn_ARM_JTAG_SWD_10","J19","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD",""
"USB_C_Receptacle_USB2.0","J2","Connectors_USBC_TYPEC-304S-ACP16:TYPEC304SACP16"," C720630"
"Conn_02x06_Odd_Even","J20","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical",""
"Conn_02x12_Odd_Even","J21","Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical",""
"Conn_01x24","J3,J4,J5,J6,J7","PaulSchwarz_ConnFPC_1x24_AFC24-S24FIC-00:FPC_24_AFC24-S24FIC-00","C262292"
"Conn_01x04","J8,J10,J11,J12,J13,J17","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"SolderJumper_2_Bridged","JP1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"SolderJumper_2_Bridged","JP2","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm",""
"Jumper_3_Open","JP3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"39n","L1","Inductor_SMD:L_0402_1005Metric","C26443"
"10k","R1,R3,R4,R6,R14","Resistor_SMD:R_0402_1005Metric"," C25744"
"4k7","R9,R10,R18","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17673"
"4k7","R13","Resistor_SMD:R_0402_1005Metric","C25900"
"5k1 0603","R15,R16","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C23186"
"220R","R2,R12","Resistor_SMD:R_0805_2012Metric"," C17557"
"1k","R5,R7","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C4410"
"2k2","R8,R11,R17","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17520"
"SW_SPDT","SW1","Switches_DPDT_SK-3296S-01-L3:SK3296S01L3","C319019"
"SW_SPST","SW2","Switches_SPST_3.6x6.1mm_K2-1107ST-A4SW-06:K21107STA4SW06","C11814"
"TestPoint","TP1,TP2,TP3,TP4","TestPoint:TestPoint_Pad_D2.0mm",""
"STM32F407VETx","U1","Package_QFP:LQFP-100_14x14mm_P0.5mm","C28730"
"AMS1117-3.3","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"USBLC6-2SC6","U3","Package_TO_SOT_SMD:SOT-23-6","C7519"
"WS2813","WS1,WS2,WS3,WS4","LED_SMD:LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",""
"25MHz 12pF","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9006"
"32.768 kHz","Y2","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"