Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","12p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",31.500000,48.300000,0.000000,top
"C2","12p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",31.500000,42.000000,180.000000,top
"C3","12p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",31.300000,52.700000,180.000000,top
"C4","12p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",31.300000,50.400000,180.000000,top
"C5","10n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",32.700000,40.200000,180.000000,top
"C6","100n","C_0402_1005Metric",56.400000,60.000000,90.000000,top
"C7","100n","C_0402_1005Metric",60.700000,60.000000,90.000000,top
"C8","100n","C_0402_1005Metric",70.300000,60.000000,90.000000,top
"C9","100n","C_0402_1005Metric",77.500000,60.100000,90.000000,top
"C10","100n","C_0402_1005Metric",53.000000,36.300000,0.000000,top
"C11","2u2","C_0402_1005Metric",53.000000,35.000000,0.000000,top
"C12","2u2","C_0402_1005Metric",59.300000,51.900000,90.000000,top
"C13","100n","C_0402_1005Metric",60.600000,51.880000,90.000000,top
"C14","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.100000,83.900000,270.000000,top
"C15","100n","C_0402_1005Metric",17.500000,84.000000,270.000000,top
"C16","2u2","C_0402_1005Metric",16.000000,84.000000,270.000000,top
"C17","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",30.700000,78.400000,90.000000,top
"C18","2u2","C_0402_1005Metric",28.200000,78.300000,90.000000,top
"C19","10n","C_0402_1005Metric",36.000000,40.500000,270.000000,top
"C20","1u","C_0402_1005Metric",37.300000,40.500000,270.000000,top
"C21","10n","C_0402_1005Metric",37.400000,47.380000,270.000000,top
"C22","100n","C_0402_1005Metric",36.000000,47.400000,270.000000,top
"C23","10n","C_0402_1005Metric",37.300000,42.500000,90.000000,top
"C24","100n","C_0402_1005Metric",36.000000,42.500000,90.000000,top
"C25","10n","C_0402_1005Metric",41.800000,36.300000,0.000000,top
"C26","100n","C_0402_1005Metric",41.820000,35.100000,0.000000,top
"C27","10n","C_0402_1005Metric",54.900000,37.300000,90.000000,top
"C28","100n","C_0402_1005Metric",56.200000,37.300000,90.000000,top
"C29","10n","C_0402_1005Metric",56.700000,51.900000,90.000000,top
"C30","100n","C_0402_1005Metric",58.000000,51.900000,90.000000,top
"C31","10n","C_0402_1005Metric",41.500000,55.700000,180.000000,top
"C32","100n","C_0402_1005Metric",41.500000,57.000000,180.000000,top
"C33","4u7","C_0402_1005Metric",35.100000,38.800000,180.000000,top
"C34","2u2","C_0402_1005Metric",57.300000,53.600000,0.000000,top
"C35","2u2","C_0402_1005Metric",57.500000,37.280000,270.000000,top
"D1","0805 White","LED_0805_2012Metric_Castellated",71.500000,32.000000,90.000000,top
"D2","0805 Green","LED_0805_2012Metric_Castellated",79.500000,32.000000,90.000000,top
"D3","0805 Red","LED_0805_2012Metric_Castellated",83.500000,32.000000,90.000000,top
"D4","0805 Blue","LED_0805_2012Metric_Castellated",75.500000,32.000000,90.000000,top
"D5","M7","D_SMA",60.700000,78.500000,0.000000,top
"D6","D_Schottky","D_SMA-SMB_Universal_Handsoldering",62.100000,83.920000,0.000000,top
"D7","M7","D_SMA",62.200000,7.900000,0.000000,top
"D8","0805 Yellow","LED_0805_2012Metric_Castellated",8.000000,77.000000,90.000000,top
"D9","0805 Yellow","LED_0805_2012Metric_Castellated",11.000000,77.000000,90.000000,top
"F1","Polyfuse 500mA","Fuse_1206_3216Metric_Castellated",62.730000,88.550000,0.000000,top
"FB1","GZ2012D601TF","L_0805_2012Metric",68.670000,88.500000,0.000000,top
"J3","Conn_01x24","FPC_24_AFC24-S24FIC-00",23.000000,38.000000,180.000000,top
"J4","Conn_01x24","FPC_24_AFC24-S24FIC-00",47.000000,86.000000,0.000000,top
"J5","Conn_01x24","FPC_24_AFC24-S24FIC-00",8.000000,47.000000,90.000000,top
"J6","Conn_01x24","FPC_24_AFC24-S24FIC-00",47.000000,8.000000,180.000000,top
"J7","Conn_01x24","FPC_24_AFC24-S24FIC-00",86.000000,47.000000,270.000000,top
"J19","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",66.200000,53.500000,90.000000,top
"L1","39n","L_0402_1005Metric",34.600000,40.500000,270.000000,top
"R1","10k","R_0402_1005Metric",37.400000,59.100000,90.000000,top
"R2","220R","R_0805_2012Metric",34.400000,45.000000,270.000000,top
"R3","10k","R_0402_1005Metric",82.900000,57.000000,0.000000,top
"R4","10k","R_0402_1005Metric",82.900000,58.900000,180.000000,top
"R5","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",61.340000,26.610000,90.000000,top
"R6","10k","R_0402_1005Metric",36.500000,45.500000,180.000000,top
"R7","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",66.390000,26.620000,270.000000,top
"R8","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",71.500000,36.800000,270.000000,top
"R9","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",79.500000,36.800000,270.000000,top
"R10","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",83.500000,36.800000,90.000000,top
"R11","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",75.500000,36.800000,90.000000,top
"R12","220R","R_0805_2012Metric",53.600000,59.100000,270.000000,top
"R13","4k7","R_0402_1005Metric",84.700000,80.600000,270.000000,top
"R14","10k","R_0402_1005Metric",86.000000,80.600000,90.000000,top
"R15","5k1 0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",82.500000,81.000000,270.000000,top
"R16","5k1 0603","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",75.800000,81.100000,270.000000,top
"R17","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",8.000000,82.000000,270.000000,top
"R18","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.000000,82.000000,270.000000,top
"SW2","SW_SPST","K21107STA4SW06",8.300000,66.000000,90.000000,top
"U1","STM32F407VETx","LQFP-100_14x14mm_P0.5mm",47.000000,46.000000,270.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",23.000000,81.000000,90.000000,top
"U3","USBLC6-2SC6","SOT-23-6",79.300000,80.400000,90.000000,top
"WS1","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",56.000000,65.000000,0.000000,top
"WS2","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",64.000000,65.000000,0.000000,top
"WS3","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",72.000000,65.000000,0.000000,top
"WS4","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",80.000000,65.000000,0.000000,top
"Y1","25MHz 12pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",31.500000,45.200000,270.000000,top
"Y2","32.768 kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",34.300000,51.300000,90.000000,top
